num_books,copies_per_book,num_librarians,num_users,arrival_rate,librarian_mean,librarian_std,user_mean,user_std,avg_wait_time,served_users,avg_librarian_workload,overall_simulation_time,clients_per_minute
15,3,5,50,0.1,3,0.5,40,5,18.897567091067494,50,59.77309128039506,397.7578996720629,7.955157993441258
15,3,5,50,0.2,3,0.5,40,5,11.43175624266497,50,59.55332003825505,224.72745095225454,4.494549019045091
15,3,5,30,0.2,3,0.5,40,5,7.814867498872456,30,34.97177342421208,172.73755767717319,5.7579185892391065
15,3,5,30,0.2,3,0.5,40,5,0.172687622872193,30,35.2784796493547,152.99948926334923,5.099982975444974
15,3,5,10,0.5,3,0.5,40,5,0.0,10,12.27781203635268,19.891402494787577,1.9891402494787578
15,3,5,40,0.5,3,0.5,40,5,6.7665904495918765,40,47.601341703921676,72.92718377056383,1.8231795942640958
15,3,5,40,0.2,3,0.5,40,5,5.269125780728791,40,47.27107803857168,191.33735963382267,4.783433990845567
15,3,5,50,0.1,3,0.5,40,5,26.846155859659678,50,58.91967649966566,476.45454484091204,9.529090896818241
15,3,5,30,0.2,3,0.5,40,5,3.3361138534143526,30,35.82879506671851,122.5235232157119,4.08411744052373
15,3,5,20,0.2,3,0.5,40,5,-0.12258516989879312,20,23.70417754898068,91.5868322716958,4.5793416135847895
15,3,5,30,0.5,3,0.5,40,5,4.272846106223519,30,35.88389249266062,50.419975960512865,1.6806658653504287
15,3,5,30,0.2,3,0.5,40,5,3.219011056056737,30,35.11060576919658,158.0886370989673,5.2696212366322435
15,3,5,30,0.1,3,0.5,40,5,11.430102105249473,30,34.62829405597326,321.14769366459757,10.704923122153252
15,3,5,30,0.5,3,0.5,40,5,0.0,30,34.742013042389786,54.936983436282105,1.8312327812094036
15,3,5,10,0.1,3,0.5,40,5,0.0,10,12.277812036352678,99.45701247393788,9.945701247393789
15,3,5,10,0.1,3,0.5,40,5,0.0,10,12.277812036352678,99.45701247393788,9.945701247393789
15,3,5,20,0.1,3,0.5,40,5,5.26473041036493,20,23.988897390901364,204.60273796475644,10.230136898237822
15,3,5,10,0.1,3,0.5,40,5,0.0,10,12.277812036352678,99.45701247393788,9.945701247393789
15,3,5,50,0.2,3,0.5,40,5,13.468786680003793,50,59.78923731276617,238.26257879437327,4.765251575887465
15,3,5,50,0.5,3,0.5,40,5,9.024537598746932,50,60.222096649776404,85.10588130961901,1.70211762619238
15,3,5,20,0.1,3,0.5,40,5,2.7980713285696837,20,23.5321245176117,210.39005482737144,10.519502741368573
15,3,5,10,0.5,3,0.5,40,5,0.0,10,12.27781203635268,19.891402494787577,1.9891402494787578
15,3,5,30,0.2,3,0.5,40,5,1.2753136645764376,30,35.209593493803325,129.04153953415786,4.301384651138595
15,3,5,30,0.2,3,0.5,40,5,-0.2895513487970978,30,34.7926236465713,137.34245859070526,4.578081953023509
15,3,5,20,0.1,3,0.5,40,5,0.0,20,24.10442200018128,177.91749041159215,8.895874520579607
15,3,5,50,0.1,3,0.5,40,5,17.857077157085136,50,60.17112036927638,396.87544695788364,7.937508939157673
15,3,5,20,0.2,3,0.5,40,5,-0.0712538495819551,20,24.36005782882835,88.95874520579608,4.4479372602898035
15,3,5,20,0.1,3,0.5,40,5,1.5379024861613033,20,23.92884539943545,198.53156296184687,9.926578148092343
15,3,5,40,0.1,3,0.5,40,5,6.542142671314609,40,47.18842745942895,348.00378230337174,8.700094557584293
15,3,5,40,0.1,3,0.5,40,5,5.131801847209313,40,46.57053175640159,391.39380507499055,9.784845126874764
15,3,5,50,0.1,3,0.5,40,5,27.911795422404975,50,59.15375596324236,464.0194419927269,9.280388839854538
15,3,5,50,0.1,3,0.5,40,5,23.113212370208252,50,59.53144598612373,442.80792415693617,8.856158483138723
15,3,5,20,0.5,3,0.5,40,5,2.2841102751280378,20,24.194287721501105,50.43489289036186,2.521744644518093
15,3,5,30,0.2,3,0.5,40,5,-0.2490510970520423,30,34.85101859691427,137.34245859070526,4.578081953023509
15,3,5,30,0.5,3,0.5,40,5,0.5766008872289287,30,34.57772385809409,56.33375591350138,1.8777918637833793
15,3,5,30,0.1,3,0.5,40,5,2.3423530027908055,30,35.34142891413852,261.73524913164795,8.724508304388264
15,3,5,20,0.5,3,0.5,40,5,0.0,20,24.104422000181277,35.58349808231842,1.779174904115921
15,3,5,10,0.5,3,0.5,40,5,0.0,10,12.27781203635268,19.891402494787577,1.9891402494787578
15,3,5,30,0.5,3,0.5,40,5,2.407586242624865,30,35.072447000402455,55.978426086194,1.8659475362064666
15,3,5,20,0.2,3,0.5,40,5,0.0,20,24.104422000181277,88.95874520579608,4.4479372602898035
15,3,5,30,0.2,3,0.5,40,5,1.207836275017804,30,35.03371749547632,149.65098530900002,4.988366176966667
15,3,5,50,0.5,3,0.5,40,5,5.902102534845626,50,60.83523656561778,77.5858372840914,1.551716745681828
15,3,5,30,0.2,3,0.5,40,5,4.0498829875174085,30,34.42080024864997,173.14630983447432,5.771543661149144
15,3,5,40,0.2,3,0.5,40,5,7.41827321883383,40,46.805569108063494,207.31504571464302,5.182876142866076
15,3,5,20,0.1,3,0.5,40,5,0.0,20,24.10442200018128,177.91749041159215,8.895874520579607
15,3,5,20,0.2,3,0.5,40,5,0.12691431131633166,20,23.96479144768826,91.32581449391255,4.5662907246956275
15,3,5,50,0.1,3,0.5,40,5,15.30584762147816,50,59.451936158537976,395.40083408799603,7.9080166817599205
15,3,5,20,0.1,3,0.5,40,5,5.134786103673016,20,24.047018950044563,210.89377411922683,10.544688705961342
